NAME;RA2000;DE2000;P0;P1;AGE;DIST
J0244+14;41.2125;14.45;2.1281;;2.73;0
J0337+1715;54.43261;17.25412;0.00273258863244;1.7666E-20;1.3;2.45E9
J0407+1607;61.97891;16.12122;0.02570173919463;7.9E-20;4.07;5.15E9
J0329+1654;52.28563;16.90056;0.893319660649;2.1525E-16;3.35;6.58E7
J0304+1932;46.13798;19.54761;1.387584446262;1.295235E-15;0.95;1.7E7
J0241+16;40.44167;16.06667;1.5454;;1.01;0
J0229+20;37.2625;20.96667;0.8069;;2.97;0
J0158+21;29.62083;21.13333;0.5053;;1.45;0
J0435+27;68.89167;27.73333;0.3262793;;3.43;0
J0357+3205;59.46875;32.09028;0.4441044988;1.3037E-14;;540000.0
J0417+35;64.42917;35.75;0.6544;;2.68;0
J0510+38;77.49583;38.2;0.0765644;;2.74;0
J0501+4516;75.27817;45.27609;5.76209653;5.82E-12;2.2;15700.0
J0502+4654;75.519;46.90169;0.638565481517;5.582339E-15;1.78;1810000.0
J0519+44;79.75;44.0;0.515;;2.03;0
J0419+44;64.75;44.0;1.241;;3.12;0
J0358+42;59.5;42.1;0.2264777;;2.07;0
J0323+3944;50.86091;39.74803;3.032071956385;6.3562E-16;2.61;7.56E7
J0340+4130;55.09703;41.51258;0.00329;;2.67;0
J0335+4555;53.81936;45.93152;0.26920054092953;7.3505E-18;2.08;5.8E8
J0357+5236;59.43673;52.61603;0.1970300980314;4.76594E-16;4.73;6550000.0
J0426+4933;66.52839;49.56068;0.922474730055;3.93444E-14;3.6;371000.0
J0519+54;80.0;54.41667;0.340194;;2.03;0
J0454+5543;73.53229;55.72818;0.340729436235;2.37227E-15;1.18;2280000.0
J0408+551;62.0;55.0;1.837;;2.04;0
J0408+552;62.0;55.0;0.754;;2.36;0
J0218+4232;34.52649;42.53816;0.00232309046783;7.7389E-20;3.15;4.76E8
J0156+3949;29.23019;39.82459;1.81156061131;1.516E-16;4.85;1.89E8
J0048+3412;12.1416;34.20223;1.217094296058;2.35454E-15;3.68;8190000.0
J0014+4746;3.57396;47.77594;1.240699038946;5.6446E-16;1.82;3.48E7
J0106+4855;16.60442;48.93106;0.083157305005;4.2792E-16;7.33;3080000.0
J0102+4839;15.75;48.0;0.00296;;4.03;0
J0056+4756;14.1063;47.93626;0.472036662076;3.32849E-15;1.0;2250000.0
J0059+50;14.75;50.03333;0.996009;;5.79;0
J0055+5117;13.93908;51.29027;2.115171148865;9.53764E-15;2.4;3510000.0
J0139+5621;24.91067;56.36022;1.77534382596;7.9096E-14;5.54;356000.0
J0103+54;15.90417;54.03333;0.354304;;2.69;0
J0117+5914;19.41109;59.244;0.1014390664824;5.849955E-15;2.14;275000.0
J0033+57;8.25;57.0;0.315;;3.34;0
J0040+5716;10.13484;57.27359;1.1182253452412;2.878973E-15;4.48;6150000.0
J0058+6125;14.5;61.41667;0.637;;5.81;0
J0033+61;8.25;61.0;0.912;;1.92;0
J0026+6320;6.71067;63.33357;0.318357731235;1.5006E-16;13.6;3.36E7
J0324+5239;51.23108;52.65869;0.336620230291;3.81E-16;6.28;1.4E7
J0343+5312;55.80379;53.21484;1.934478067294;1.342243E-14;2.48;2280000.0
J0358+5413;59.72382;54.22048;0.1563824177774;4.396862E-15;1.0;564000.0
J0332+5434;53.24737;54.57877;0.714519699726;2.048265E-15;1.0;5530000.0
J0341+5711;55.25;57.18333;1.888;;4.47;0
J0214+5222;33.7303;52.37804;0.02457529479071;2.99E-19;1.21;1.3E9
J0212+5222;33.2175;52.37917;0.376386292;6.6E-15;1.91;904000.0
J0248+6021;42.07757;60.35964;0.217094;5.509E-14;2.0;62400.0
J0243+6027;40.75;60.45;1.473;;6.99;0
J0242+62;40.64583;62.94722;0.592;;0.21;0
J0418+5732;64.64111;57.5397;9.07838822;4.1E-15;;3.51E7
J0413+58;63.25;58.0;0.687;;2.24;0
J0406+6138;61.62534;61.64473;0.5945761650437;5.57316E-15;3.05;1690000.0
J0417+61;64.25;61.13333;0.440283;;3.6;0
J0533+67;83.25;67.0;0.00439;;5.8;0
J0358+66;59.5;66.66667;0.09150682;;3.52;0
J0338+66;54.75;66.73333;1.762;;3.63;0
J0325+67;51.5;67.81667;1.364741;;3.49;0
J0415+6954;63.98189;69.90275;0.3907150899386;7.6601E-17;1.57;8.08E7
J0147+5922;26.93602;59.36758;0.19632137543003;2.56763E-16;1.91;1.21E7
J0157+6212;29.45806;62.2072;2.35174493646;1.889254E-13;1.61;197000.0
J0139+5814;24.83225;58.24217;0.27245063095;1.071167E-14;2.6;403000.0
J0141+6009;25.41641;60.15897;1.2229485205457;3.9107E-16;2.3;4.95E7
J0125+62;21.5;62.58333;1.708233;;5.1;0
J0146+6145;26.59342;61.75078;8.6889941;1.99E-12;3.6;69100.0
J0141+63;25.25;63.13333;0.04668588;;21.68;0
J0136+63;24.0;63.7;0.717895;;24.03;0
